ID,Title,Content
11,The Coming Of Winter,"_Stanzas from ""Onegin""_
Our Northern Winter's fickle Summer,
Than Southern Winter scarce more bland--
Is undeniably withdrawing
On fleeting footsteps from the land.
Soon will the Autumn dim the heavens,
The light of sunbeams rarer grown--
Already every day is shorter,
While with a smitten hollow tone
The forest drops its shadow leafage;
Upon the fields the mists lie white,
In lusty caravans the wild geese
Now to the milder South take flight;
Seasons of tedium draw near,
Before the door November drear!
From shivering mist ascends the morning,
The bustle, of the fields declines,
The wolf walks now upon the highway,
In wolfish hunger howls and whines;
The traveller's pony scents him, snorting--
The heedful wanderer breathless takes
His way in haste beyond the mountains!
And though no longer when day breaks
Forth from their stalls the herd begins
To drive the kine,--his noon-day horn recalls.
The peasant maiden sings and spins,
Before her crackling, flaming bright
The pine chips,--friend of Winter night.
And see! The hoar frost colder sparkles
And spreads its silver o'er the fields,
Alas! the golden days are vanished!
Reluctant Nature mournful yields.
The stream with ice all frozen over
Gleams as some fashionable parquet,
And thronging hordes of boyish skaters
Sweep forward on its crystal way.
On her red claws despondent swimming,
The plump goose parts the water cold,
Then on the ice with caution stalking
She slips and tumbles,--ah behold!
Now the first snowflake idling down
Stars the depressing landscape brown.
At such a season in the country,
What can a man's amusements be?
Walk? And but more of empty highway
And of deserted village see?
Or let him through the far Steppes gallop,
His horse can scarcely stand at all--
His stamping hoofs in vain seek foothold,
The rider dreading lest he fall!
So then remain within thy paling,
Read thou in Pradt or Walter Scott,
Compare thy varying editions,
Drink, and thy scoffing mood spare not!
As the long evenings drag away
So doth the Winter too delay.
FROM ""ONEGIN""
Sometimes he read aloud with Olga
A latter day romance discreet,
Whose author truly painted nature,
With cunning plot, insight complete;
Oft he passed over a few pages,
Too bald or tasteless in their art--
And coloring, began on further,
Not to disturb the maiden heart.
Again, they sat for hours together,
With but a chess board to divide;
She with her arms propped on the table,
Deep pondering, puzzled to decide--
Till Lenski from his inward storm
Captured her castle with his pawn!
FROM ""ONEGIN""
Love condescends to every altar,
Ah when in hearts of youth it springs,
Its coming brings such glad refreshment
As May rain o'er the pasture flings!
Lifted from passion's melancholy
The life breaks forth in fairer flower,
The soul receives a new enrichment--
Fruition sweet and full of power.
But when on later altars arid
It downward sweeps, about us flows--
Love leaves behind such deathly traces
As Autumn tempests where it blows
To strip the woods with ruthless hand,
And turn to soggy waste the land!
FROM ""ONEGIN""
How sad to me is thine appearing,
O Springtime, hour of love's unrest!
Within the soul what nameless languors!
What passions hid within the breast!
With what a heavy, heavy spirit
From the earth's rustic lap I feel
Again the joy of Springtide odors--
That once could make my spirit reel!
No more for me such pleasures thrilling,
All that rejoices, that has life,
All that exults,--brings but despondence
To one past passion as past strife,
All is but prose to such as he,
Wearied unto satiety.
Perchance we fain would pass unnoticed
That which in Autumn drooped and pined,
Now radiant in verdure springing,
Since it must of our loss remind;
As with a tortured soul we realize
In Nature's glad awakening,
That we shall never find renewal,
Who evermore are withering.
Perchance there haunts us in remembrance,
Our own most dear and lyric dream,
Another long forgotten Springtime--
And trembling neath this pang supreme,
The heart faints for a distant country
And for a night beside the sea!"
12,The Delibash,"With the hostile camp in skirmish
Our men once were changing shot,
Pranced the Delibash his charger
'Fore our ranks of Cossacks hot.
Trifle not with free-born Cossacks!
Nor too o'er foolhardy be!
Thy mad mood thou wilt atone for--
On his pike he'll skewer thee!
'Ware friend Cossack! Or at full bound,
Off thy head, at lightning speed
With his scimitar he'll sever
From thy trunk! He will indeed!
What confusion! What a roaring!
Halt! thou devil's pack, have care!
On the pike is lanced the horseman--
Headless stands the Cossack there!"
13,The Dream,"Not long ago, in a charming dream,
I saw myself -- a king with crown's treasure;
I was in love with you, it seemed,
And heart was beating with a pleasure.
I sang my passion's song by your enchanting knees.
Why, dreams, you didn't prolong my happiness forever?
But gods deprived me not of whole their favor:
I only lost the kingdom of my dreams."
14,The Drowned Man,"Children running into izba,
Calling father, dripping sweat:
""Daddy, daddy! come -- there is a
Deadman caught inside our net.""
""Fancy, fancy fabrication...""
Grumbled off their weary Pa,
""Have these imps imagination!
Deadman, really! ya-ha-ha...

""Well... the court may come to bother -
What'll I say before the judge?
Hey you brats, go have your mother
Bring my coat; I better trudge...
Show me, where?"" -- ""Right there, Dad, farther!""
On the sand where netting ropes
Lay spread out, the peasant father
Saw the veritable corpse.

Badly mangled, ugly, frightening,
Blue and swollen on each side...
Has he fished in storm and lightning,
Or committed suicide?
Could this be a careless drunkard,
Or a mermaid-seeking monk,
Or a merchandizer, conquered
By some bandits, robbed and sunk?

To the peasant, what's it matter!
Quick: he grabs the dead man's hair,
Drags his body to the water,
Looks around: nobody's there:
Good... relieved of the concern he
Shoves his paddle at a loss,
While the stiff resumes his journey
Down the stream for grave and cross.

Long the dead man as one living
Rocked on waves amid the foam...
Surly as he watched him leaving,
Soon our peasant headed home.
""Come you pups! let's go, don't scatter.
Each of you will get his bun.
But remember: just you chatter --
And I'll whip you, every one.""

Dark and stormy it was turning.
High the river ran in gloom.
Now the torch has finished burning
In the peasant's smoky room.
Kids asleep, the wife aslumber,
He lies listening to the rain...
Bang! he hears a sudden comer
Knocking on the window-pane.

""What the..."" -- ""Let me in there, master!""
""Damn, you found the time to roam!
Well, what is it, your disaster?
Let you in? It's dark at home,
Dark and crowded... What a pest you are!
Where'd I put you in my cot...""
Slowly, with a lazy gesture,
He lifts up the pane and; what?

Through the clouds, the moon was showing...
Well? the naked man was there,
Down his hair the water flowing,
Wide his eyes, unmoved the stare;
Numb the dreadful-looking body,
Arms were hanging feeble, thin;
Crabs and cancers, black and bloody,
Sucked into the swollen skin.

As the peasant slammed the shutter
(Recognized his visitant)
Horror-struck he could but mutter
""Blast you!"" and began to pant.
He was shuddering, awful chaos
All night through stirred in his brain,
While the knocking shook the house
By the gates and at the pane.

People tell a dreadful rumor:
Every year the peasant, say,
Waiting in the worst of humor
For his visitor that day;
As the rainstorm is increasing,
Nightfall brings a hurricane -
And the drowned man knocks, unceasing,
By the gates and at the pane."
15,The Duel,"FROM ""EUGENE ONEGIN ""
28
Yes, foes!-How many days, bethink you,
Since hatred stepped the two between,
And since in hours of thought and leisure,
At work, at table, they have been
As comrades! Now, with purpose dread,
Like men in mutual loathing bred,
Each plans, as though in broadest day
A heavy nightmare on him lay,
The other's downfall in his heart.
Oh, could they smile but once, while still
Their hands are pure from deed of ill,
And then their sev'ral ways depart!
But worldly hate, like worldly fame,
Shrinks at the breath of worldly shame.
30
-Now, come together!
Calmly, coldly,
Not aiming yet, with haughty glance,
And tread assured and light, though measured,
The combatants four steps advance,
Four steps to death-whereon Eugene,
Still forward moving o'er the green,
(The other likewise) first began
To raise his weapon, fix his man. . . .
N ine steps now of the fateful quest
Were counted-Lensky, with a frown,
His left eye closed, took aim-when down
Oniegin's thumb the trigger prest. . . .
Reverse the sand-glass!-Lensky sighed-
No more!-and let his pistol glide.
31
He sought his breast with clutching fingers-
He fell, his glance grew dim, and still
It spoke of death alone, not torment,
As when upon some eastern hill
All sparkling in the morning light,
The snow-wreath vanishes from sight.
Oniegin, suddenly a-cold
With horror, saw his shot had told.
He hastened-o'er the poet's form
He stooped, he called his name-too late!
He was no more-untimely fate!
The flower had perished in the storm-
The music on the broken lyre,
And on the altar-stone, the fire!
32
And there he lay! How unfamiliar
Upon his brow the languid grace !
Beneath his breast the ball had pierced him,
The smoking blood ran down apace,
Thence, where, a few brief moments past,
The pulse of life was bounding fast,
Where hate and hope and love were strong,
And warm emotions wont to throng.
The heart is now a house bereft
Of former inmates-every floor
Is dark and still for evermore,
With dusty panes. The host has left;
And whither went he ? Who shall say ?
His very trace is swept away.
33
To write an epigram, a sharp one,
Your stupid foe to irritate,
Is very nice. To see him lower
His sullen horns, still obstinate,
And, nolens volens, in the glass
With shame behold himself and pass.
Twere nicer still (the fool!), should he
Stand there and gape-"" 'Tis meant for me!""
And silently to dig your foe
An honoured grave, to aim with care-
Your mark, the pallid forehead there,
A generous distance off-we know,
Is nicest . But to see him fall
And lie, is scarcely nice at all!
34
We'll just suppose, my friend, your pistol Has stretched a young acquaintance dead-
Because of forward look or answer,
Because some idle thing he said
Had stung you o'er the wine last night,
Or even called you out to fight
Himself in boyish anger-well,
What kind of feeling, pray you, tell,
Came o'er you with a whelming rush,
When laid before you on the ground,
Without a motion or a sound,
He stiffens in the sudden hush ?
When dumb, with blinded stare, he lies,
Stone-deaf to your despairing cries ?"
16,The Flower,"A flower; shrivelled, bare of fragrance,
Forgotten on a page; I see,
And instantly my soul awakens,
Filled with an aimless reverie:

When did it bloom? the last spring? earlier?
How long? Where was it plucked? By whom?
By foreign hands? or by familiar?
And why put here, as in a tomb?

To mark a tender meeting by it?
A parting with a precious one?
Or just a walk, alone and quiet,
In forests' shade? in meadows' sun?

Is she alive? Is he still with her?
Where is their haven at this hour?
Or did they both already wither,
Like this unfathomable flower?"
17,The High Road In Winter,"Between the rolling vapours
The moon glides soft and bright;
Across the dreary fallows
She casts a mournful light.
Along the wintry high road
A troika moves fleet;
Its little bells are ringing
One silver tone and sweet.
Some echo of my country
The driver's song recalls-
The memory of love yearnings
And noisy bacchanals.
No lights, no black-roofed dwellings-
Silence and snow ... I see
For mile on mile the road-posts
In striped monotony."
18,The Last Flower,"Rich the first flower's graces be,
But dearer far the last to me;
My spirit feels renewal sweet,
Of all my dreams hope or desire--
The hours of parting oft inspire
More than the moments when we meet!"
19,The Memorial,"Beyond compare the monument I have erected,
And to this spirit column well-worn the people's path,--
Its head defiant will out-soar that famous pillar
The Emperor Alexander hath!
I shall not vanish wholly,--No! but young forever
My spirit will live on, within my lyre will ring,
And men within this world shall hold me in remembrance
While yet one Singer lives to sing.
My glory shall in future fly through distant Russia,
Each race in its own tongue shall name me far and wide,
The Slav, the Finn, the Kalmyk, all shall know me--
The Tungoose in his reindeer hide.
Among my people I shall be long loved and cherished,
Because their noblest instincts I have e'er inflamed,
In evil hours I lit their hearts with fires of freedom,
And never for their pleasures blamed.
O Muse, pursue the calling of thy Gods forever!
Strive not for the garland, nor look upon the pain--
Unmoved support the voice of scorn or of laudation,
And argument with Fools disdain!"
20,The Name,"What is my name to you? 'T will die:
a wave that has but rolled to reach
with a lone splash a distant beach;
or in the timbered night a cry ...

'T will leave a lifeless trace among
names on your tablets: the design
of an entangled gravestone line
in an unfathomable tongue.

What is it then? A long-dead past,
lost in the rush of madder dreams,
upon your soul it will not cast
Mnemosyne's pure tender beams.

But if some sorrow comes to you,
utter my name with sighs, and tell
the silence: ""Memory is true -
there beats a heart wherein I dwell."""
21,The Night,"My voice that is for you the languid one, and gentle,
Disturbs the velvet of the dark night's mantle,
By my bedside, a candle, my sad guard,
Burns, and my poems ripple and merge in flood --
And run the streams of love, run, full of you alone,
And in the dark, your eyes shine like the precious stones,
And smile to me, and hear I the voice:
My friend, my sweetest friend... I love... I'm yours... I'm yours!"
22,The Poet,"Until he hears Apollo's call
To make a hallowed sacrifice,
A Poet lives in feeble thrall
To people's empty vanities;
And silent is his sacred lyre,
His soul partakes of chilly sleep,
And of the world's unworthy sons
He is, perhaps, the very least.
But once Divinity's command
Approaches his exquisite ear,
The poet's soul awakens, poised,
Just like an eagle stirred from sleep.
All worldly pleasures leave him cold,
From common talk he stays aloof,
And will not lower his proud head
Before the nation's sacred cow.
Untamed and brooding, he takes flight,
Seething with sound and agitation,
To reach a sea-swept, desert shore,
A woodland wide and murmuring..."
23,The Prophet,"Longing for spiritual springs,
I dragged myself through desert sands ...
An angel with three pairs of wings
Arrived to me at cross of lands;
With fingers so light and slim
He touched my eyes as in a dream:
And opened my prophetic eyes
Like eyes of eagle in surprise.
He touched my ears in movement, single,
And they were filled with noise and jingle:
I heard a shuddering of heavens,
And angels' flight on azure heights
And creatures' crawl in long sea nights,
And rustle of vines in distant valleys.
And he bent down to my chin,
And he tore off my tongue of sin,
In cheat and idle talks aroused,
And with his hand in bloody specks
He put the sting of wizard snakes
Into my deadly stoned mouth.
With his sharp sword he cleaved my breast,
And plucked my quivering heart out,
And coals flamed with God's behest,
Into my gaping breast were ground.
Like dead I lay on desert sands,
And listened to the God's commands:
'Arise, O prophet, hark and see,
Be filled with utter My demands,
And, going over Land and Sea,
Burn with your Word the humane hearts.'"
24,The Roussalka,"A LEGEND OF THE WATER-SPRITE
In forest depths, beside a mere,
A monk once made his habitation ;
Absorbed in penances severe,
In fast and prayer he sought salvation.
Already by his own poor spade
His grave was hollowed to receive him,
And every day the good saint prayed
That Heaven from earth would soon relieve him.
One summer's eve, the hermit poor,
At prayer within his narrow room,
Looked out beyond his humble door
And saw the forest wrapped in gloom ;
Night-mists were rising from the mere,
Between the clouds the moon 'gan peep;
The monk unto the pool drew near
And gazed into its waters deep.
He saw himself-drew back perturbed
By fears he ne'er had known before ;
For, lo, the waters were disturbed,
Then suddenly grew calm once more ;
""While fitful as a twilight shade,
Than virgin snow more purely white,
From out the pool appeared a maid
Approaching in the silver light.
She shook the bright drops from her hair
And gazed upon the anchorite ;
To look upon her form so fair
The good monk trembled with affright.
And he beheld her from afar
With head and hand strange signals make,
Then swifter than a shooting star
Dive back into the silent lake.
All night the hermit could not sleep,
All day in agony he prayed ;
But still he could not choose but keep
The image of that wondrous maid
Before him. So, when day did wane,
And overhead the moon was bright,
He watched, and saw her come again
In all her beauty, dazzling white.
She beckoned to him where he stood,
And gave him greeting glad and free.
She played and splashed about the flood,
She laughed and danced in childish glee,
As softly to the monk she cried :
"" Come hither, monk, and join me here!""
Then suddenly she dipped to hide
Her beauty in the darkling mere.
The third day came-grown mad with love,
The hermit sought th' enchanted shore
Ere yet night's veil was drawn above,
And waited for the maid once more.
Dawn broke-the monk had disappeared . . .
And now the frightened children say
He haunts the pool: and lo! his beard
Floats on the water night and day."
25,The Singer,"Did you attend? He sang by grove ripe;
The bard of love, the singer of his mourning.
When fields were silent by the early morning,
To sad and simple sounds of a pipe
Did you attend?

Did you behold in dark of forest leaf
The bard of love, the singer of his sadness?
The trace of tears, the smile, the utter paleness,
The quiet look, full of eternal grief,
Did you behold?

Then did you sigh when hearing how cries
The bard of love, the singer of his dole?
When in the woods you saw the young man, sole,
And met the look of his extinguished eyes,
Then did you sigh?"
26,The Song Of The Kasak,"Kazak speeds ever toward the North,
Kazak has never heart for rest,
Not on the field, nor in the wood,
Nor when in face of danger pressed
His steed the raging stream must breast!
Kazak speeds ever toward the North,
With him a mighty power brings,
To win the honour of his land
Kazak his life unheeding flings-
Till fame of him eternal sings!
Kazak brought all Siberia
At foot of Russia's throne to lie,
Kazak left glory in the Alps,
His name the Turk can terrify,
His flag he ever carries high!
Kazak speeds ever toward the North,
Kazak has never heart for rest,
Not on the field, nor in the wood,
Nor when in face of danger pressed
His steed the raging stream must breast!"
27,The Talisman,"Where the sea forever dances
Over lonely cliff and dune,
Where sweet twilight's vapor glances
In a warmer-glowing moon,
Where with the seraglio's graces
Daylong toys the Mussulman,
An enchantress 'mid embraces
Handed me a talisman.

'Mid embraces I was bidden:
""Guard this talisman of mine:
In it secret power is hidden!
Love himself has made it thine.
Neither death nor ills nor aging,
My beloved, does it ban,
Nor in gales and tempest raging
Can avail my talisman.

Never will it help thee gather
Treasures of the Orient coast,
Neither to thy harness tether
Captives of the Prophet's host;
Nor in sadness will it lead thee
To a friendly bosom, nor
From this alien southland speed thee
To the native northern shore.

""But whenever eyes designing
Cast on thee a sudden spell,
In the darkness lips entwining
Love thee not, but kiss too well:
Shield thee, love, from evil preying,
From new heart-wounds---that it can,
From forgetting, from betraying
Guards thee this my talisman."""
28,The Upas Tree,"Deep in the desert's misery,
far in the fury of the sand,
there stands the awesome Upas Tree
lone watchman of a lifeless land.

The wilderness, a world of thirst,
in wrath engendered it and filled
its every root, every accursed
grey leafstalk with a sap that killed.

Dissolving in the midday sun
the poison oozes through its bark,
and freezing when the day is done
gleams thick and gem-like in the dark.

No bird flies near, no tiger creeps;
alone the whirlwind, wild and black,
assails the tree of death and sweeps
away with death upon its back.

And though some roving cloud may stain
with glancing drops those leaden leaves,
the dripping of a poisoned rain
is all the burning sand receives.

But man sent man with one proud look
towards the tree, and he was gone,
the humble one, and there he took
the poison and returned at dawn.

He brought the deadly gum; with it
he brought some leaves, a withered bough,
while rivulets of icy sweat
ran slowly down his livid brow.

He came, he fell upon a mat,
and reaping a poor slave's reward,
died near the painted hut where sat
his now unconquerable lord.

The king, he soaked his arrows true
in poison, and beyond the plains
dispatched those messengers and slew
his neighbors in their own domains."
29,The Vision,"I remember a marvellous instant,
Unto me bending down from above,
Thy radiant vision appearing
As an angel of beauty and love.
'Mid the torments of desperate sadness,
In the torture of bondage and sighs,
To me rang thy voice so beloved--
And I dreamed thy miraculous eyes.
But the years rolled along--and life's tempests
My illusions, my youth overcame,
I forgot that sweet voice full of music--
And thy glance like a heavenly flame.
In the covert and grief of my exile,
The days stretched unchanged in their flight,
Bereft inspiration or power,
Bereft both of love and of light.
To my soul now approaches awakening,
To me thou art come from above,
As a radiant and wonderful vision--
As an angel of beauty and love.
As before my heart throbs with emotion,
Life looks to me worthy and bright,
And I feel inspiration and power--
And again love and tears and the light!"
30,The Water-Nymph,"In lakeside leafy groves, a friar
Escaped all worries; there he passed
His summer days in constant prayer,
Deep studies and eternal fast.
Already with a humble shovel
The elder dug himself a grave -
As, calling saints to bless his hovel,
Death; nothing other; did he crave.

So once, upon a falling night, he
Was bowing by his wilted shack
With meekest prayer to the Almighty.
The grove was turning slowly black;
Above the lake a mist was lifting;
Through milky clouds across the sky
The ruddy moon was softly drifting,
When water drew the friar's eye...

He's looking puzzled, full of trouble,
Of fear he cannot quite explain,
He sees the waves begin to bubble
And suddenly grow calm again.
Then -- white as first snow in the highlands,
Light-footed as nocturnal shade,
There comes ashore, and sits in silence
Upon the bank, a naked maid.

She eyes the monk and brushes gently
Her hair, and water off her arms.
He shakes with fear and looks intently
At her, and at her lovely charms.
With eager hand she waves and beckons,
Nods quickly, smiles as from afar
And shoots, within two flashing seconds,
Into still water like a star.

The glum old man slept not an instant;
All day, not even once he prayed:
Before his eyes still hung and glistened
The wondrous, the relentless shade...
The grove puts on its gown of nightfall;
The moon walks on the cloudy floor;
And there's the maiden; pale, delightful,
Reclining on the spellbound shore.

She looks at him, her hair she brushes,
Blows airy kisses, gestures wild,
Plays with the waves; caresses, splashes -
Now laughs, now whimpers like a child,
Moans tenderly, calls louder, louder...
""Come, monk, come, monk! To me, to me!..""
Then; disappears in limpid water,
And all is silent instantly...

On the third day the zealous hermit
Was sitting by the shore, in love,
Awaiting the delightful mermaid,
As shade was covering the grove...
Dark ceded to the sun's emergence;
Our monk had wholly disappeared -
Before a crowd of local urchins,
While fishing, found his hoary beard."
31,The Wish,"I shed my tears; my tears ? my consolation;
And I am silent; my murmur is dead,
My soul, sunk in a depression?s shade,
Hides in its depths the bitter exultation.
I don?t deplore my passing dream of life --
Vanish in dark, the empty apparition!
I care only for my love?s infliction,
And let me die, but only die in love!"
32,The wondrous moment of our meeting?,"The wondrous moment of our meeting...
Still I remember you appear
Before me like a vision fleeting,
A beauty's angel pure and clear.

In hopeless ennui surrounding
The worldly bustle, to my ear
For long your tender voice kept sounding,
For long in dreams came features dear.

Time passed. Unruly storms confounded
Old dreams, and I from year to year
Forgot how tender you had sounded,
Your heavenly features once so dear.

My backwoods days dragged slow and quiet --
Dull fence around, dark vault above --
Devoid of God and uninspired,
Devoid of tears, of fire, of love.

Sleep from my soul began retreating,
And here you once again appear
Before me like a vision fleeting,
A beauty's angel pure and clear.

In ecstasy my heart is beating,
Old joys for it anew revive;
Inspired and God-filled, it is greeting
The fire, and tears, and love alive."
33,Thou and You,"She substituted, by a chance,
For empty ""you"" -- the gentle ""thou"";
And all my happy dreams, at once,
In loving heart again resound.
In bliss and silence do I stay,
Unable to maintain my role:
""Oh, how sweet you are!"" I say --
""How I love thee!"" says my soul."
34,Thoughts,"If I walk the noisy streets,
Or enter a many thronged church,
Or sit among the wild young generation,
I give way to my thoughts.
I say to myself: the years are fleeting,
And however many there seem to be,
We must all go under the eternal vault,
And someone?s hour is already at hand.
When I look at a solitary oak
I think: the patriarch of the woods.
It will outlive my forgotten age
As it outlived that of my grandfathers?.
If I dandle a young infant,
Immediately I think: farewell!
I will yield my place to you,
For I must fade while your flower blooms.
Each day, and every hour
I habitually follow in my thoughts,
Trying to guess from their number
The year which brings my death.
And where will fate send death to me?
In battle, in my travels, or on the seas?
Or will the neighbouring valley
Receive my chilled ashes?
And although to the senseless body
It is indifferent wherever it rots,
Yet close to my beloved countryside
I still would prefer to rest.
And let it be, beside the grave?s vault
That young life forever will be playing,
And impartial, indifferent nature
Eternally be shining in beauty."
35,To Chadaev,"The lies of fame and love's resolve
Have vanished now without a trace,
Our youthful passions have dissolved
As though a dream or morning haze.
Yet, still, we're burning with desire,
And with impatience in our souls,
Beneath the yoke of strength and fire,
We hark our country's pleading calls.
In expectation, full of ardor,
The day of freedom we await, --
Thus waits a youthful, eager lover
The moment of the promised date.
And whilst with liberty we burn,
And whilst our hearts adore ovation,
Our country needs us, - let us turn
And dedicate our soul's elation.
My friend, believe me that with thunder,
The star of joy will rise again!
And Russia will arise from slumber,
Our names will be incised with wonder
On remnants of oppressive reign!"
36,To Gnedich,"With Homer you conversed alone for days and nights,
Our waiting hours were passing slowly,
And shining you came down from the mysterious heights
And brought to us your tablets holy -
So? in the wilderness, beneath a tent, you found
Us, feasting mad in empty gaiety,
Singing our savage songs and galloping around
Some newly hand-created deity.
We grew confused, aloof from your good rays hid we.
Then, seized of wrath and desolation,
Have you, O prophet, cursed your mindless family And smashed your tablets in frustration?
No, you have cursed us not. From heights you disappear
Into the shade of little valleys;
You love the heavens' crash, but also wish to hear
Bees humming over red azaleas.
Such is the honest bard. With passion he laments
At solemn fairs of Melpomena -
To smile upon the crowd's plebeian merriments,
The liberties of coarse arena.
Now Rome is calling him, now majesties of Troy,
Now elder Ossian's craggy gravels -
And in the meantime he will hear with childish joy
Of Czar Sultan's heroic travels."
37,To Lily,"Lily, Lily! I am sighing
With despair and hopeless woe.
I'm tormented and I'm dying,
And my soul has lost its glow,
But my love evoked no pity:
You consider me pathetic.
Keep on laughing: you are pretty
Even when unsympathetic."
38,To My Friends,"The chain of golden days and nights
Is still your heritage from Deity,
And, still, the languid maidens? eyes
Are turned to you as well intently.
So, play and sing, friends of my years!
Lose very quickly passing evening,
And, at your heedless joy and singing,
I will be smiling through my tears."
39,To Natasha,"The crimson summer now grows pale;
Clear, bright days now soar away;
Hazy mist spreads through the vale,
As the sleeping night turns gray;
The barren cornfields lose their gold;
The lively stream has now turned cold;
The curly woods are gray and stark,
And the heavens have grown dark.
Where are you, my light, Natasha?
No one's seen you, - I lament.
Don't you want to share the passion
Of this moment with a friend?
You have not yet met with me
By the pond, or by our tree,
Though the season has turned late,
We have not yet had a date.
Winter's cold will soon arrive
Fields will freeze with frost, so bitter.
In the smoky shack, a light,
Soon enough, will shine and glitter.
I won't see my love, - I'll rage
Like a finch, inside a cage,
And at home, depressed and dazed,
I'll recall Natasha's grace."
40,To The Don,"Through the Steppes, see there he glances!
Silent flood glad hailed by me,--
Thy far distant sons do proffer
Through me, greeting fond to thee!
Every stream knows thee as brother,
Don, thou river boasted wide!
The Araxes and Euphrates
Send thee greeting as they glide.
Fresh and strengthened for pursuing,
Scenting home within thy gleam--
Drink again the Don'ish horses,
Flowing boundary, of thy stream!
Faithful Don! There also greet thee
Thy true warriors bold and free--
Let thy vineyard's foaming bubbles
In the glass be spilled to thee!"
41,To... (Kern),"I still recall the wondrous moment
When you appeared before my eyes,
Just like a fleeting apparition,
Just like pure beauty's distillation.
When'er I languished in the throes of hopeless grief
Amid the troubles of life's vanity,
Your sweet voice lingered on in me,
Your dear face came to me in dreams.
Years passed. The raging, gusty storms
Dispersed my former reveries,
And I forgot your tender voice,
Your features so divine.
In exile, in confinement's gloom,
My uneventful days wore on,
Bereft of awe and inspiration
Bereft of tears, of life, of love.
My soul awakened once again:
And once again you came to me,
Just like a fleeting apparition
Just like pure beauty's distillation.
My heart again resounds in rapture,
Within it once again arise
Feelings of awe and inspiration,
Of life itself, of tears, and love."
42,Under A Portrait Of Jukowsky,"The charm and sweetness of his magic verse
Will mock the envious years for centuries!
Since youth, on hearing them, for glory burns,
The wordless sorrow comfort in them sees,
And careless joy to wistful musing turns."
43,Under The Blue Skies?,"Under the blue skies of her native land
She languished and began to fade...
Until surely there flew without a sound
Above me, her young shade;
But there stretches between us an uncrossable line.
In vain my feelings I tried to awaken.
The lips that brought the news were made of stone,
And I listened like a stone, unshaken.
So this is she for whom my soul once burned
In the tense and heavy fire,
Obsessed, exhausted, driven out of my mind
By tenderness and desire!
Where are the torments? Where is love? Alas!
For the unreturning days'
Sweet memory, and for the poor credulous
Shade, I find no lament, no tears."
44,Upon The Hills Of Georgia,"Dark falls upon the hills of Georgia,
I hear Aragva's roar.
I'm sad and light, my grief - transparent,
My sorrow is suffused with you,
With you, with you alone...My melancholy
Remains untouched and undisturbed,
And once again my heart ignites and loves
Because it can't do otherwise."
45,Why Feed The Early Signs Of Boredom?,"Why feed the early signs of boredom
With sinister and dismal thought,
And wait for separation, burdened
With sorrow, lonesome and distraught?
The day of grief is close at hand!
You'll stand, alone, out in the sun,
And try to bring back once again
These days, but they will long be gone.
Misfortune! then, you'll be ready
To die in exile, on the street,
If you could only see your lady,
Or hear the shuffle of her feet.
"
46,A Little Bird,"In alien lands I keep the body
Of ancient native rites and things:
I gladly free a little birdie
At celebration of the spring.

I'm now free for consolation,
And thankful to almighty Lord:
At least, to one of his creations
I've given freedom in this world!"
47,A Magic Moment I Remember,"A magic moment I remember:
I raised my eyes and you were there,
A fleeting vision, the quintessence
Of all that's beautiful and rare
I pray to mute despair and anguish,
To vain the pursuits world esteems,
Long did I hear your soothing accents,
Long did your features haunt my dreams.
Time passed. A rebel storm-blast scattered
The reveries that once were mine
And I forgot your soothing accents,
Your features gracefully divine.
In dark days of enforced retirement
I gazed upon grey skies above
With no ideals to inspire me
No one to cry for, live for, love.
Then came a moment of reinessance,
I looked up - you again are there
A fleeting vision, the quintessence
Of all that's beautiful and rare"
48,A Serenade,"I watch Inesilla
Thy window beneath,
Deep slumbers the villa
In night's dusky sheath.
Enamoured I linger,
Close mantled, for thee--
With sword and with guitar,
O look once on me!
Art sleeping? Wilt wake thee
Guitar tones so light?
The argus-eyed greybeard
My swift sword shall smite.
The ladder of ropes
Throw me fearlessly now!
Dost falter? Hast thou, Sweet,
Been false to thy vow?
I watch Inesilla
Thy window beneath,
Deep slumbers the villa
In night's dusky sheath!"
49,A Winter Evening,"Sable clouds by tempest driven,
Snowflakes whirling in the gales,
Hark--it sounds like grim wolves howling,
Hark--now like a child it wails!
Creeping through the rustling straw thatch,
Rattling on the mortared walls,
Like some weary wanderer knocking--
On the lowly pane it falls.
Fearsome darkness fills the kitchen,
Drear and lonely our retreat,
Speak a word and break the silence,
Dearest little Mother, sweet!
Has the moaning of the tempest
Closed thine eyelids wearily?
Has the spinning wheel's soft whirring
Hummed a cradle song to thee?
Sweetheart of my youthful Springtime,
Thou true-souled companion dear--
Let us drink! Away with sadness!
Wine will fill our hearts with cheer.
Sing the song how free and careless
Birds live in a distant land--
Sing the song of maids at morning
Meeting by the brook's clear strand!
Sable clouds by tempest driven,
Snowflakes whirling in the gales,
Hark--it sounds like grim wolves howling,
Hark--now like a child it wails!
Sweetheart of my youthful Springtime,
Thou true-souled companion dear,
Let us drink! Away with sadness!
Wine will fill our hearts with cheer!"
